date,portfolio_value,cash,stock_value
2024-01-02,1000000000,88000,999912000
2024-01-03,961069000,344133180,616935820
2024-01-04,954843480,380430,954463050
2024-01-05,944186830,69330,944117500
2024-01-08,924545330,113575230,810970100
2024-01-09,926327130,117850630,808476500
2024-01-10,933522630,213216970,720305660
2024-01-11,935351500,77870,935273630
2024-01-12,922629455,117095,922512360
2024-01-15,941547335,49685,941497650
2024-01-16,932547985,73685,932474300
2024-01-17,916207585,239338475,676869110
2024-01-18,913996945,76705685,837291260
2024-01-19,914437745,205622945,708814800
2024-01-22,908204045,241095,907962950
2024-01-23,924772995,154995,924618000
2024-01-24,925302195,66795,925235400
2024-01-25,978984795,669852795,309132000
2024-01-26,983638395,113595,983524800
2024-01-29,1007575395,70395,1007505000
2024-01-30,1021755095,204095,1021551000
2024-01-31,1045764995,154995,1045610000
2024-02-01,1051793395,13195,1051780200
2024-02-02,1069230595,1069230595,0
2024-02-05,1069230595,37195,1069193400
2024-02-06,1094960795,96095,1094864700
2024-02-07,1113246495,106995,1113139500
2024-02-08,1105384995,369132195,736252800
2024-02-13,1131400995,9195,1131391800
2024-02-14,1126956695,14730,1126941965
2024-02-15,1108033860,81980,1107951880
2024-02-16,1136563640,136240,1136427400
2024-02-19,1158169940,45140,1158124800
2024-02-20,1143397940,198351630,945046310
2024-02-21,1147525535,348468435,799057100
2024-02-22,1155270735,50735,1155220000
2024-02-23,1171290735,63935,1171226800
2024-02-26,1141753135,323236735,818516400
2024-02-27,1127728335,119995,1127608340
2024-02-28,1161423135,107265,1161315870
2024-02-29,1217506635,42035,1217464600
2024-03-04,1199884485,291299630,908584855
2024-03-05,1187106035,556346905,630759130
2024-03-06,1182589185,73185,1182516000
2024-03-07,1170603735,13185,1170590550
2024-03-08,1181563985,165121835,1016442150
2024-03-11,1163216095,91675,1163124420
2024-03-12,1158491475,101475025,1057016450
2024-03-13,1159752675,35600,1159717075
2024-03-14,1182130650,59150,1182071500
2024-03-15,1149934150,332475150,817459000
2024-03-18,1167404150,14203550,1153200600
2024-03-19,1109554750,86886780,1022667970
2024-03-20,1095672240,130240,1095542000
2024-03-21,1101751850,56450,1101695400
2024-03-22,1075090250,61586950,1013503300
2024-03-25,1062522450,116326850,946195600
2024-03-26,1085079500,76267910,1008811590
2024-03-27,1076717040,80840,1076636200
2024-03-28,1067707540,79720140,987987400
2024-03-29,1052450040,44240,1052405800
2024-04-01,1037508040,24999740,1012508300
2024-04-02,1004607040,35056440,969550600
2024-04-03,979190890,41212640,937978250
2024-04-04,1021051940,58260,1020993680
2024-04-05,1005145380,70760260,934385120
2024-04-08,1034374010,53388660,980985350
2024-04-09,1034283460,213460,1034070000
2024-04-11,1067974960,145873060,922101900
2024-04-12,1051224760,28455660,1022769100
2024-04-15,1086555260,118060,1086437200
2024-04-16,1083542360,217837515,865704845
2024-04-17,1072017465,297465,1071720000
2024-04-18,1067218405,179155,1067039250
2024-04-19,1057445355,98478355,958967000
2024-04-22,1100745255,132955,1100612300
2024-04-23,1107850055,126900955,980949100
2024-04-24,1112002155,97414905,1014587250
2024-04-25,1114686655,74468905,1040217750
2024-04-26,1133798705,117605,1133681100
2024-04-29,1135418905,66205,1135352700
2024-04-30,1132322805,75468205,1056854600
2024-05-02,1146140605,190928605,955212000
2024-05-03,1102041405,79445995,1022595410
2024-05-07,1119009395,196795,1118812600
2024-05-08,1123758195,63592195,1060166000
2024-05-09,1084844095,92669995,992174100
2024-05-10,1106556295,154895,1106401400
2024-05-13,1107518595,41874395,1065644200
2024-05-14,1103946495,73587695,1030358800
2024-05-16,1111859395,218365795,893493600
2024-05-17,1096389895,163815,1096226080
2024-05-20,1128880015,245715,1128634300
2024-05-21,1123968915,26320715,1097648200
2024-05-22,1162817465,128265415,1034552050
2024-05-23,1175401015,156042515,1019358500
2024-05-24,1171373695,243995,1171129700
2024-05-27,1190045645,33425145,1156620500
2024-05-28,1189833745,122645,1189711100
2024-05-29,1186240445,36123645,1150116800
2024-05-30,1149276945,42901445,1106375500
2024-05-31,1149355895,284995,1149070900
2024-06-03,1178437015,87115,1178349900
2024-06-04,1163686315,139115,1163547200
2024-06-05,1167721915,45684915,1122037000
2024-06-07,1184170515,187315,1183983200
2024-06-10,1183612115,268497115,915115000
2024-06-11,1187315315,80159315,1107156000
2024-06-12,1182586215,36549615,1146036600
2024-06-13,1178564185,276035,1178288150
2024-06-14,1200989185,279535,1200709650
2024-06-17,1242782585,438299935,804482650
2024-06-18,1250069685,40342825,1209726860
2024-06-19,1263779245,170695,1263608550
2024-06-20,1251148495,59883495,1191265000
2024-06-21,1235251945,127056245,1108195700
2024-06-24,1239807145,115718075,1124089070
2024-06-25,1242526300,128240180,1114286120
2024-06-26,1254761740,102948500,1151813240
2024-06-27,1253394210,186002090,1067392120
2024-06-28,1255266450,40250,1255226200
2024-07-01,1243069150,71516100,1171553050
2024-07-02,1205712850,77539900,1128172950
2024-07-03,1207022800,89549100,1117473700
2024-07-04,1216118420,307300,1215811120
2024-07-05,1238248580,142960700,1095287880
2024-07-08,1221218560,268076100,953142460
2024-07-09,1209771200,177850,1209593350
2024-07-10,1211540010,15004330,1196535680
2024-07-11,1214031850,114250,1213917600
2024-07-12,1200275750,56077950,1144197800
2024-07-15,1194393750,313540,1194080210
2024-07-16,1214728240,40440,1214687800
2024-07-17,1206699050,100450,1206598600
2024-07-18,1197009350,487850,1196521500
2024-07-19,1166502650,81992820,1084509830
2024-07-22,1160965645,34411015,1126554630
2024-07-23,1185458765,4622615,1180836150
2024-07-24,1176723825,54191375,1122532450
2024-07-25,1159242645,99821305,1059421340
2024-07-26,1146907095,140044765,1006862330
2024-07-29,1159701275,122099375,1037601900
2024-07-30,1144910075,105655,1144804420
2024-07-31,1153377995,9922495,1143455500
2024-08-01,1155303495,57592495,1097711000
2024-08-02,1108634395,206356450,902277945
2024-08-05,1022105430,98208240,923897190
2024-08-06,1066637355,118520155,948117200
2024-08-07,1073906655,224340475,849566180
2024-08-08,1072343555,214072975,858270580
2024-08-09,1080351135,116145,1080234990
2024-08-12,1082895935,39571945,1043323990
2024-08-13,1089665845,74552205,1015113640
2024-08-14,1089073085,139725,1088933360
2024-08-16,1119199805,120555,1119079250
2024-08-19,1105037020,64360,1104972660
2024-08-20,1112183860,11646460,1100537400
2024-08-21,1104217120,92384080,1011833040
2024-08-22,1109335870,22063065,1087272805
2024-08-23,1118651855,28289075,1090362780
2024-08-26,1115228125,181825,1115046300
2024-08-27,1101964865,57593165,1044371700
2024-08-28,1120273185,75867725,1044405460
2024-08-29,1129435625,67725225,1061710400
2024-08-30,1129891505,342355,1129549150
2024-09-02,1130214405,20961455,1109252950
2024-09-03,1099317255,62155,1099255100
2024-09-04,1065324345,109106965,956217380
2024-09-05,1073711605,131025,1073580580
2024-09-06,1062357915,57755475,1004602440
2024-09-09,1064208205,42275505,1021932700
2024-09-10,1065307975,12197095,1053110880
2024-09-11,1030620065,57435995,973184070
2024-09-12,1059425035,82339535,977085500
2024-09-13,1072942935,70598335,1002344600
2024-09-19,1090817335,123393570,967423765
2024-09-20,1105384030,159170,1105224860
2024-09-23,1105997720,21158095,1084839625
2024-09-24,1106407420,87935020,1018472400
2024-09-25,1092115520,124520720,967594800
2024-09-26,1122377210,153768910,968608300
2024-09-27,1131061110,408575,1130652535
2024-09-30,1087807445,55407935,1032399510
2024-10-02,1077006915,416580,1076590335
2024-10-04,1080236245,73356970,1006879275
2024-10-07,1108151275,62502735,1045648540
2024-10-08,1106137895,202555,1105935340
2024-10-10,1124098585,60056865,1064041720
2024-10-11,1129109515,36979615,1092129900
2024-10-14,1141072615,125115,1140947500
2024-10-15,1137523015,114911215,1022611800
2024-10-16,1123709915,16595415,1107114500
2024-10-17,1103270815,24195715,1079075100
2024-10-18,1102693315,106552475,996140840
2024-10-21,1101800985,38254535,1063546450
2024-10-22,1082612195,70370,1082541825
2024-10-23,1090956465,28286820,1062669645
2024-10-24,1075434485,96151235,979283250
2024-10-25,1102205405,391825,1101813580
2024-10-28,1119558165,178520465,941037700
2024-10-29,1104033665,311265,1103722400
2024-10-30,1107193965,28605165,1078588800
2024-10-31,1077224965,121053340,956171625
2024-11-01,1090308940,42274670,1048034270
2024-11-04,1114964380,197515880,917448500
2024-11-05,1113935380,3527630,1110407750
2024-11-06,1113280630,138996530,974284100
2024-11-07,1112772430,110444180,1002328250
2024-11-08,1099013380,62223580,1036789800
2024-11-11,1111582380,55647660,1055934720
2024-11-12,1110980030,60344210,1050635820
2024-11-13,1110212430,130702190,979510240
2024-11-14,1118938390,87056340,1031882050
2024-11-15,1119271840,221240,1119050600
2024-11-18,1158730340,202443340,956287000
2024-11-19,1154531540,256740,1154274800
2024-11-20,1184981540,6988340,1177993200
2024-11-21,1181772440,71133040,1110639400
2024-11-22,1190558540,70940,1190487600
2024-11-25,1190961940,54143540,1136818400
2024-11-26,1187358840,178394740,1008964100
2024-11-27,1183003840,54377460,1128626380
2024-11-28,1179603740,45690140,1133913600
2024-11-29,1160572640,154994840,1005577800
2024-12-02,1164251740,129237990,1035013750
2024-12-03,1201608240,76390,1201531850
2024-12-04,1173376910,129943345,1043433565
2024-12-05,1137746035,319874725,817871310
2024-12-06,1138363410,134910310,1003453100
2024-12-09,1112926510,32106050,1080820460
2024-12-10,1138245180,277225930,861019250
2024-12-11,1155747830,86630,1155661200
2024-12-12,1174510730,216768530,957742200
2024-12-13,1160207630,38075730,1122131900
2024-12-16,1153576030,43821730,1109754300
2024-12-17,1150884930,54874580,1096010350
2024-12-18,1194022180,202139340,991882840
2024-12-19,1185933220,335680,1185597540
2024-12-20,1175776280,108880,1175667400
2024-12-23,1181837380,122942280,1058895100
2024-12-24,1178375680,284780,1178090900
2024-12-26,1172448780,124264580,1048184200
2024-12-27,1165236980,27023490,1138213490
